s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
5951.437337,130.260742,-0.902614,-7.955710,7.926080,0.025518,0.000149,0.010571,-0.000178,0.000198,-1.031851,7.119570,-0.000072,-0.000176,0.010568
5953.437148,130.094888,1.089622,-8.006374,7.948389,0.025154,0.000576,0.011740,-0.000187,0.000228,-1.196658,6.970647,-0.000067,-0.000180,0.011736
5955.436959,129.882304,3.077424,-8.056290,7.973046,0.024768,0.001058,0.012919,-0.000199,0.000254,-1.409763,6.777715,-0.000066,-0.000185,0.012915
5957.436770,129.618442,5.059081,-8.105409,8.000057,0.024355,0.001581,0.014096,-0.000215,0.000269,-1.675793,6.536989,-0.000074,-0.000193,0.014092
5959.436581,129.298841,7.032526,-8.153666,8.029407,0.023903,0.002120,0.015257,-0.000237,0.000270,-1.984670,6.241490,-0.000095,-0.000205,0.015253
5961.436391,128.919202,8.995316,-8.200968,8.061051,0.023397,0.002641,0.016390,-0.000268,0.000251,-2.333666,5.879949,-0.000133,-0.000225,0.016386
5963.436202,128.475468,10.944630,-8.247189,8.094919,0.022819,0.003099,0.017481,-0.000310,0.000208,-2.764128,5.485768,-0.000191,-0.000256,0.017477
5965.436013,127.963906,12.877270,-8.292161,8.130913,0.022143,0.003448,0.018517,-0.000366,0.000141,-3.279138,5.094128,-0.000269,-0.000302,0.018513
5967.435824,127.381183,14.789677,-8.335662,8.168911,0.021341,0.003646,0.019485,-0.000437,0.000057,-3.850865,4.677200,-0.000359,-0.000366,0.019482
5969.435635,126.724442,16.677974,-8.377405,8.208767,0.020380,0.003665,0.020374,-0.000524,-0.000037,-4.534103,4.206769,-0.000453,-0.000450,0.020372
5971.435446,125.991373,18.538003,-8.417040,8.250312,0.019227,0.003498,0.021174,-0.000629,-0.000130,-5.363919,3.703386,-0.000537,-0.000555,0.021173
5973.435257,125.180267,20.365393,-8.454150,8.293358,0.017849,0.003158,0.021876,-0.000748,-0.000209,-6.261942,3.227258,-0.000600,-0.000679,0.021874
5975.435068,124.290063,22.155634,-8.488261,8.337700,0.016223,0.002682,0.022470,-0.000878,-0.000266,-7.262288,2.755562,-0.000631,-0.000818,0.022470
5977.434879,123.320380,23.904157,-8.518858,8.383118,0.014334,0.002122,0.022952,-0.001011,-0.000294,-8.329797,2.317672,-0.000623,-0.000963,0.022952
