right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
26.318736,333.419519,34.981277,12.721471,334.510736,35.303652
26.514795,335.287840,34.955789,12.864687,336.626057,35.280251
26.724092,337.152362,34.930903,13.079454,338.737133,35.255419
26.956009,339.011498,34.907365,13.337067,340.846336,35.229433
27.188993,340.869030,34.882466,13.634539,342.952301,35.202256
27.488038,342.717503,34.854069,13.956142,345.054662,35.174744
27.803059,344.566999,34.825239,14.361638,347.139360,35.146232
28.164006,346.418068,34.792695,14.764574,349.214297,35.118589
28.548441,348.271989,34.761060,15.210018,351.273333,35.088747
28.935404,350.138019,34.731438,15.658910,353.320315,35.059603
29.373943,352.004396,34.699599,16.162717,355.342331,35.027097
29.877635,353.862091,34.661565,16.682850,357.352272,34.993909
30.361535,355.736498,34.626171,17.224558,359.344803,34.961059
30.899847,357.607658,34.592117,17.780451,361.321451,34.926968
31.457514,359.480735,34.556515,18.373862,363.279463,34.890952
32.001755,361.369070,34.520470,18.959766,365.227803,34.854348
32.593218,363.253637,34.483077,19.595414,367.150724,34.815740
33.162481,365.150067,34.446203,20.197211,369.078212,34.777995
33.742732,367.048895,34.408540,20.806047,370.997746,34.739974
34.336226,368.945572,34.370161,21.420656,372.913507,34.701109
34.930799,370.842986,34.331840,22.057000,374.821366,34.658760
35.518636,372.743864,34.293752,22.660417,376.737937,34.616655
36.111792,374.644501,34.255744,23.249193,378.657671,34.571845
36.686640,376.551819,34.219250,23.862591,380.568790,34.524690
37.288080,378.452229,34.182162,24.457904,382.484184,34.477985
37.880823,380.356803,34.145522,25.052491,384.398414,34.426853
38.459164,382.266883,34.109571,25.618349,386.320791,34.375407
39.054408,384.173040,34.073236,26.224045,388.229228,34.322392
39.651387,386.080364,34.035554,26.812670,390.141364,34.266372
40.250558,387.988469,33.996009,27.414384,392.047892,34.209424
40.845207,389.900624,33.956490,28.006865,393.954719,34.152711
41.433949,391.818202,33.916065,28.581800,395.863479,34.096530
42.005889,393.743388,33.874625,29.160320,397.768666,34.040387
42.592419,395.667451,33.832857,29.723219,399.675098,33.984750
43.201715,397.588093,33.790222,30.313948,401.569068,33.930451
43.793309,399.516622,33.747527,30.892267,403.464424,33.876684
44.376705,401.451142,33.702830,31.479507,405.353508,33.814613
44.989948,403.380398,33.654733,32.055478,407.242329,33.750973
45.563396,405.324032,33.606440,32.609667,409.135231,33.684093
46.136003,407.271401,33.557224,33.191827,411.016502,33.615567
