right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
-393.708561,-277.341811,13.841428,-386.161923,-277.447167,13.720760
-393.745048,-279.340387,13.937979,-386.199395,-279.443155,13.817889
-393.781760,-281.338876,14.034726,-386.237110,-281.439162,13.915202
-393.816710,-283.337313,14.131619,-386.274878,-283.435184,14.012681
-393.850458,-285.335689,14.228657,-386.312584,-285.431223,14.110308
-393.883071,-287.334005,14.325826,-386.349952,-287.427285,14.208061
-393.913844,-289.332268,14.423104,-386.387022,-289.423369,14.305932
-393.943243,-291.330481,14.520481,-386.423836,-291.419468,14.403910
-393.972174,-293.328628,14.617962,-386.460498,-293.415585,14.501987
-393.999566,-295.326722,14.715517,-386.497050,-295.411718,14.600158
-394.025999,-297.324764,14.813147,-386.533848,-297.407858,14.698421
-394.052330,-299.322738,14.910861,-386.571401,-299.403999,14.796778
-394.077754,-301.320657,15.008637,-386.609637,-301.400142,14.895227
-394.102737,-303.318518,15.106478,-386.648231,-303.396289,14.993759
-394.127876,-305.316317,15.204388,-386.686801,-305.392441,15.092368
-394.152343,-307.314068,15.302352,-386.725435,-307.388596,15.191054
-394.176245,-309.311762,15.400364,-386.763816,-309.384761,15.289812
-394.199673,-311.309412,15.498427,-386.801428,-311.380934,15.388628
-394.222624,-313.307018,15.596530,-386.838206,-313.377121,15.487503
-394.244970,-315.304587,15.694668,-386.874036,-315.373323,15.586432
-394.266209,-317.302130,15.792825,-386.909366,-317.369532,15.685421
-394.287416,-319.299639,15.891014,-386.940309,-319.365794,15.784406
-394.307641,-321.297140,15.989215,-386.967257,-321.362097,15.883389
-394.324590,-323.294639,16.087393,-386.989028,-323.358467,15.982349
-394.339284,-325.292155,16.185557,-387.006949,-325.354881,16.081300
-394.352590,-327.289674,16.283718,-387.022470,-327.351337,16.180251
-394.365718,-329.287196,16.381895,-387.037503,-329.347819,16.279224
-394.377580,-331.284740,16.480067,-387.050191,-331.344348,16.378179
-394.388656,-333.282298,16.578231,-387.061325,-333.340924,16.477130
-394.399595,-335.279875,16.676394,-387.072177,-335.337534,16.576077
-394.409960,-337.277487,16.774544,-387.081784,-337.334191,16.675000
-394.420102,-339.275125,16.872681,-387.090557,-339.330894,16.773894
-394.430561,-341.272797,16.970804,-387.099123,-341.327641,16.872756
-394.440754,-343.270510,17.068898,-387.107010,-343.324433,16.971573
-394.450684,-345.268264,17.166960,-387.114529,-345.321272,17.070331
-394.460214,-347.266057,17.264981,-387.122306,-347.318154,17.169032
-394.469139,-349.263900,17.362951,-387.129341,-349.315087,17.267653
-394.477475,-351.261787,17.460869,-387.135796,-351.312072,17.366181
-394.484957,-353.259726,17.558723,-387.141552,-353.309102,17.464607
-394.492067,-355.257710,17.656514,-387.146745,-355.306178,17.562926
-394.498802,-357.255742,17.754239,-387.151553,-357.303298,17.661131
-394.505158,-359.253821,17.851886,-387.156257,-359.300455,17.759221
-394.511315,-361.251939,17.949450,-387.161301,-361.297650,17.857196
-394.517369,-363.250098,18.046936,-387.166503,-363.294879,17.955034
-394.523339,-365.248297,18.144329,-387.171296,-365.292144,18.052729
-394.529685,-367.246534,18.241632,-387.176666,-367.289432,18.150283
-394.536351,-369.244801,18.338839,-387.182519,-369.286746,18.247685
-394.543488,-371.243090,18.435941,-387.189282,-371.284087,18.344936
-394.551003,-373.241413,18.532934,-387.196270,-373.281444,18.442011
-394.558603,-375.239754,18.629801,-387.203356,-375.278828,18.538904
-394.565574,-377.238123,18.726535,-387.210025,-377.276235,18.635589
-394.572761,-379.236513,18.823130,-387.216597,-379.273659,18.732068
-394.580279,-381.234915,18.919582,-387.223176,-381.271101,18.828324
-394.588369,-383.233329,19.015883,-387.229925,-383.268558,18.924350
-394.597137,-385.231757,19.112028,-387.237273,-385.266026,19.020128
-394.606354,-387.230193,19.208002,-387.245115,-387.263505,19.115640
-394.615556,-389.228635,19.303795,-387.253270,-389.261000,19.210865
