,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
117,350.623308,40.310242,-5.281366,-0.049695,4.822830,12.187201,16.831231,-21.167187,7.075842
118,353.619730,40.715058,-5.399942,-0.029688,6.073449,10.614406,10.865165,-21.318504,7.150146
119,356.615382,41.190510,-5.463257,-0.012933,6.871574,9.048408,5.054221,-20.794665,7.223603
120,359.610460,41.702291,-5.480704,0.000858,7.238220,7.539908,-0.605245,-19.702205,7.296146
121,362.605173,42.219169,-5.460768,0.011992,7.194870,6.128758,-6.114009,-18.490046,7.367770
122,365.599723,42.712906,-5.410990,0.020777,6.762303,4.820582,-11.466065,-17.265298,7.438520
123,368.594316,43.157933,-5.337994,0.027507,5.960144,3.612712,4.403790,-16.032111,7.508479
124,371.589156,43.581272,-5.247558,0.032443,6.265134,2.502388,-0.756372,-14.808859,7.577736
125,374.584442,44.009088,-5.144750,0.035789,6.213270,1.486957,-5.771417,-13.589184,7.646305
126,377.580303,44.417740,-5.034112,0.037687,5.821317,0.564078,-10.636313,-12.366896,7.714218
127,380.576744,44.785531,-4.919801,0.038255,5.105277,-0.268466,-2.586878,-11.141544,7.781538
128,383.573716,45.120798,-4.805610,0.037629,4.932470,-1.012735,-7.175573,-9.919275,7.848339
129,386.571166,45.432150,-4.694893,0.035964,4.456568,-1.670606,-11.903340,-8.697520,7.914662
130,389.569044,45.699979,-4.590546,0.033409,3.672175,-2.243745,-9.321520,-7.473600,7.980559
131,392.567296,45.920645,-4.495041,0.030098,3.061209,-2.733592,-5.352014,-6.249067,8.046102
132,395.565870,46.108996,-4.410453,0.026158,2.711989,-3.141345,-4.800939,-5.026358,8.111352
133,398.564716,46.275123,-4.338491,0.021707,2.399948,-3.468037,-0.876566,-3.806460,8.176348
134,401.563780,46.428728,-4.280513,0.016863,2.343173,-3.714580,-8.964355,-2.589483,8.241118
135,404.563011,46.561327,-4.237524,0.011739,1.764404,-3.881766,-1.333487,-1.374190,8.305681
136,407.562356,46.672185,-4.210207,0.006440,1.678532,-3.970259,-5.827850,-0.160799,8.370078
137,410.561763,46.768005,-4.198928,0.001072,1.304078,-3.980591,3.575393,1.051654,8.434331
138,413.561181,46.858989,-4.203739,-0.004263,1.533370,-3.913148,-1.683004,2.263918,8.498461
139,416.560556,46.953685,-4.224381,-0.009456,1.425650,-3.768246,3.311565,3.476869,8.562466
140,419.559836,47.051514,-4.260272,-0.014403,1.637197,-3.546138,5.181310,4.692791,8.626348
141,422.558970,47.166404,-4.310522,-0.019001,1.967479,-3.246997,4.659751,5.913555,8.690093
142,425.557905,47.300923,-4.373933,-0.023147,2.263763,-2.870991,2.371151,7.140066,8.753676
143,428.556588,47.449213,-4.448992,-0.026738,2.414096,-2.418304,4.995662,8.372842,8.817077
144,431.554967,47.611769,-4.533891,-0.029679,2.729836,-1.889118,7.201061,9.614240,8.880280
145,434.552991,47.797975,-4.626541,-0.031876,3.183359,-1.283613,9.967302,10.867077,8.943260
146,437.550607,48.017244,-4.724567,-0.033240,3.808518,-0.602019,7.615046,12.133754,9.005981
147,440.547763,48.269795,-4.825336,-0.033684,4.283827,0.155336,5.437342,13.413460,9.068398
148,443.544406,48.546203,-4.925963,-0.033131,4.621367,0.988017,3.432645,14.704498,9.130476
149,446.540485,48.837952,-5.023343,-0.031509,4.833215,1.895517,1.600211,16.004741,9.192192
150,449.535948,49.137438,-5.114158,-0.028750,4.931374,2.877269,-0.058391,17.311632,9.253533
151,452.530741,49.437969,-5.194900,-0.024794,4.927815,3.932666,-1.540312,18.622417,9.314498
152,455.524815,49.733736,-5.261880,-0.019580,4.834481,5.061067,-2.841864,19.933846,9.375092
153,458.518116,50.019791,-5.311230,-0.013049,4.663299,6.261805,-3.958729,21.242457,9.435328
154,461.510593,50.292011,-5.338910,-0.005144,4.426179,7.534184,-4.886126,22.544329,9.495226
155,464.502193,50.547069,-5.340700,0.004198,4.135041,8.877478,-5.619801,23.772584,9.554810
156,467.492868,50.782384,-5.312157,0.015074,3.801805,10.287116,-6.160547,24.670648,9.614107
157,470.482728,50.996062,-5.248402,0.027688,3.438164,11.743359,-6.514474,25.173629,9.673135
158,473.472385,51.186888,-5.143881,0.042287,3.055276,13.222938,-6.688735,25.273706,9.731910
159,476.462824,51.354323,-4.992412,0.059021,2.663617,14.702843,-6.692643,24.961137,9.790465
160,479.455076,51.498436,-4.787519,0.077915,2.272855,16.160243,-6.539167,24.229631,9.848851
161,482.450178,51.619795,-4.522669,0.098935,1.891742,17.572383,-6.244567,23.075085,9.907133
