y,x
-40057.179331,5152.06378
-40156.24084,5165.705358
-40255.30235,5179.346935
-40354.36386,5192.988513
-40453.425369,5206.630091
-40552.486879,5220.271668
-40651.198757,5236.252873
-40749.910635,5252.234078
-40848.622512,5268.215282
-40947.33439,5284.196487
-41046.046268,5300.177691
-41144.758146,5316.158896
-41243.470024,5332.140101
-41342.181901,5348.121305
-41440.893779,5364.10251
-41539.605657,5380.083714
-41638.317535,5396.064919
-41737.029413,5412.046123
-41835.741291,5428.027328
-41934.453168,5444.008533
-42033.165046,5459.989737
-42131.876924,5475.970942
-42230.588802,5491.952146
-42329.30068,5507.933351
-42428.012557,5523.914556
-42526.724435,5539.89576
-42625.436313,5555.876965
-42724.148191,5571.858169
-42822.860069,5587.839374
-42921.571946,5603.820579
-43020.283824,5619.801783
-43118.995702,5635.782988
-43217.70758,5651.764192
-43316.419458,5667.745397
-43415.131336,5683.726602
-43513.843213,5699.707806
-43612.555091,5715.689011
-43711.266969,5731.670215
-43809.978847,5747.65142
-43908.690725,5763.632625
-44007.402602,5779.613829
-44106.11448,5795.595034
-44204.826358,5811.576238
-44303.538236,5827.557443
-44402.250114,5843.538648
-44500.961992,5859.519852
-44599.673869,5875.501057
-44698.385747,5891.482261
-44797.097625,5907.463466
-44895.809503,5923.44467
-44994.521381,5939.425875
-45093.233258,5955.40708
-45191.945136,5971.388284
-45290.657014,5987.369489
-45389.368892,6003.350693
-45487.422388,6022.984501
-45585.475883,6042.618309
-45683.529379,6062.252117
-45781.582875,6081.885925
-45879.636371,6101.519733
-45977.689866,6121.15354
-46075.743362,6140.787348
-46173.796858,6160.421156
-46271.850353,6180.054964
-46369.903849,6199.688772
-46467.957345,6219.32258
-46566.010841,6238.956387
-46664.064336,6258.590195
-46762.117832,6278.224003
-46860.171328,6297.857811
-46958.224824,6317.491619
-47056.278319,6337.125426
-47154.331815,6356.759234
-47252.385311,6376.393042
-47350.438807,6396.02685
-47448.492302,6415.660658
-47546.545798,6435.294466
-47644.599294,6454.928273
-47742.65279,6474.562081
-47840.706285,6494.195889
-47938.759781,6513.829697
-48036.813277,6533.463505
-48134.866772,6553.097313
-48232.920268,6572.73112
-48330.973764,6592.364928
-48429.02726,6611.998736
-48527.080755,6631.632544
-48625.134251,6651.266352
-48723.187747,6670.900159
-48821.241243,6690.533967
-48919.294738,6710.167775
-49017.348234,6729.801583
-49115.40173,6749.435391
-49213.455226,6769.069199
-49311.508721,6788.703006
-49409.562217,6808.336814
-49507.615713,6827.970622
-49605.669209,6847.60443
-49703.722704,6867.238238
-49801.7762,6886.872046
-49899.829696,6906.505853
-49997.883191,6926.139661
-50095.936687,6945.773469
-50193.990183,6965.407277
-50292.043679,6985.041085
-50390.097174,7004.674892
-50488.15067,7024.3087
-50586.204166,7043.942508
-50684.257662,7063.576316
-50782.311157,7083.210124
-50880.364653,7102.843932
-50978.418149,7122.477739
-51076.471645,7142.111547
-51174.52514,7161.745355
-51272.578636,7181.379163
-51370.632132,7201.012971
-51468.685627,7220.646779
-51566.739123,7240.280586
-51664.792619,7259.914394
-51762.846115,7279.548202
-51859.477192,7305.236528
-51956.10827,7330.924855
-52052.739348,7356.613181
-52149.370425,7382.301507
-52246.001503,7407.989833
-52342.63258,7433.67816
-52439.263658,7459.366486
-52535.894736,7485.054812
-52632.525813,7510.743138
-52729.156891,7536.431465
-52825.787968,7562.119791
-52922.419046,7587.808117
-53019.050124,7613.496443
-53115.681201,7639.18477
-53212.312279,7664.873096
-53308.943356,7690.561422
-53405.574434,7716.249749
-53502.205512,7741.938075
-53598.836589,7767.626401
-53695.467667,7793.314727
-53792.098744,7819.003054
-53888.729822,7844.69138
-53985.3609,7870.379706
-54081.991977,7896.068032
-54178.623055,7921.756359
-54275.254132,7947.444685
-54371.88521,7973.133011
-54468.516288,7998.821338
-54565.147365,8024.509664
-54661.778443,8050.19799
-54758.40952,8075.886316
-54855.040598,8101.574643
-54951.671676,8127.262969
-55048.302753,8152.951295
-55144.933831,8178.639621
-55241.564908,8204.327948
-55338.195986,8230.016274
-55434.827064,8255.7046
-55531.458141,8281.392927
-55628.089219,8307.081253
-55724.720296,8332.769579
-55821.351374,8358.457905
-55917.982452,8384.146232
-56014.613529,8409.834558
-56111.244607,8435.522884
-56207.875684,8461.21121
-56304.506762,8486.899537
-56401.13784,8512.587863
-56497.768917,8538.276189
-56594.399995,8563.964516
-56691.031072,8589.652842
-56787.66215,8615.341168
-56884.293228,8641.029494
-56980.924305,8666.717821
-57077.555383,8692.406147
-57174.18646,8718.094473
-57270.817538,8743.782799
-57367.448616,8769.471126
-57464.079693,8795.159452
-57560.710771,8820.847778
-57657.341848,8846.536104
-57753.972926,8872.224431
-57850.604004,8897.912757
-57947.235081,8923.601083
-58043.866159,8949.28941
-58140.497236,8974.977736
-58237.128314,9000.666062
-58333.759392,9026.354388
-58430.390469,9052.042715
-58527.021547,9077.731041
-58623.652624,9103.419367
-58720.283702,9129.107693
