s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
3921.147879,108.941588,-1986.880529,67.135265,1.205496,0.107667,0.002705,0.000978,0.000200,-0.000125,-1.479533,6.472898,-0.000230,0.000203,0.000972
3923.149625,109.651629,-1985.021346,66.920161,1.207454,0.108068,0.002455,0.000999,0.000208,-0.000108,-1.468985,6.503799,-0.000216,0.000211,0.000992
3925.150659,110.357729,-1983.161513,66.704337,1.209452,0.108484,0.002238,0.001023,0.000217,-0.000095,-1.465012,6.526909,-0.000206,0.000219,0.001016
3927.151000,111.059815,-1981.300993,66.487760,1.211498,0.108918,0.002048,0.001050,0.000229,-0.000084,-1.466773,6.542499,-0.000198,0.000231,0.001043
3929.150684,111.757807,-1979.439732,66.270390,1.213598,0.109375,0.001880,0.001080,0.000243,-0.000073,-1.474903,6.550889,-0.000191,0.000245,0.001073
3931.149772,112.451621,-1977.577647,66.052177,1.215757,0.109861,0.001735,0.001113,0.000260,-0.000060,-1.487452,6.552685,-0.000182,0.000262,0.001106
3933.148341,113.141168,-1975.714642,65.833056,1.217981,0.110382,0.001614,0.001148,0.000276,-0.000046,-1.501763,6.547106,-0.000173,0.000278,0.001141
3935.146487,113.826352,-1973.850597,65.612947,1.220276,0.110933,0.001522,0.001186,0.000291,-0.000031,-1.519957,6.532394,-0.000162,0.000293,0.001178
3937.144325,114.507077,-1971.985375,65.391776,1.222646,0.111515,0.001460,0.001226,0.000305,-0.000017,-1.546642,6.508301,-0.000153,0.000307,0.001218
3939.141979,115.183237,-1970.118825,65.169470,1.225094,0.112124,0.001426,0.001269,0.000319,-0.000004,-1.584050,6.471333,-0.000146,0.000321,0.001260
3941.139596,115.854729,-1968.250774,64.945960,1.227628,0.112762,0.001418,0.001312,0.000332,0.000009,-1.630172,6.424299,-0.000139,0.000334,0.001303
3943.137315,116.521431,-1966.381052,64.721173,1.230249,0.113425,0.001436,0.001358,0.000344,0.000023,-1.686171,6.365637,-0.000131,0.000346,0.001349
3945.135291,117.183222,-1964.509474,64.495039,1.232962,0.114113,0.001481,0.001405,0.000353,0.000040,-1.747921,6.299635,-0.000120,0.000355,0.001395
3947.133670,117.839972,-1962.635862,64.267494,1.235770,0.114819,0.001560,0.001454,0.000358,0.000059,-1.814381,6.226425,-0.000107,0.000360,0.001444
3949.132595,118.491538,-1960.760037,64.038486,1.238676,0.115535,0.001679,0.001504,0.000358,0.000080,-1.888073,6.144944,-0.000094,0.000361,0.001493
3951.132196,119.137767,-1958.881832,63.807979,1.241683,0.116251,0.001838,0.001555,0.000358,0.000100,-1.971254,6.051667,-0.000081,0.000361,0.001543
3953.132584,119.778497,-1957.001091,63.575959,1.244792,0.116967,0.002038,0.001607,0.000359,0.000119,-2.063993,5.947272,-0.000069,0.000362,0.001596
3955.133853,120.413552,-1955.117679,63.342412,1.248009,0.117685,0.002275,0.001660,0.000361,0.000137,-2.166028,5.835289,-0.000058,0.000365,0.001647
3957.136067,121.042737,-1953.231487,63.107329,1.251332,0.118408,0.002548,0.001713,0.000366,0.000155,-2.271543,5.710485,-0.000047,0.000371,0.001700
3959.139256,121.665852,-1951.342440,62.870693,1.254764,0.119142,0.002859,0.001766,0.000372,0.000175,-2.375953,5.573590,-0.000035,0.000377,0.001752
3961.143419,122.282675,-1949.450495,62.632483,1.258302,0.119888,0.003211,0.001819,0.000380,0.000196,-2.482431,5.422900,-0.000022,0.000386,0.001805
3963.148519,122.892977,-1947.555646,62.392677,1.261951,0.120650,0.003603,0.001872,0.000388,0.000216,-2.597670,5.258320,-0.000010,0.000395,0.001857
3965.154476,123.496514,-1945.657932,62.151251,1.265705,0.121429,0.004035,0.001924,0.000398,0.000234,-2.721377,5.082730,0.000001,0.000405,0.001909
3967.161176,124.093035,-1943.757425,61.908186,1.269567,0.122227,0.004505,0.001975,0.000406,0.000254,-2.854582,4.900407,0.000013,0.000415,0.001959
3969.168462,124.682277,-1941.854244,61.663461,1.273532,0.123042,0.005015,0.002026,0.000409,0.000276,-2.996798,4.716567,0.000028,0.000419,0.002009
