Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME,s_dot,n_dot,s_ddot,n_ddot
104.9046111,71.9384455,-107.9750221,0.140647,7.8e-06,7.1454271,-7.1161951,104.9546625,-2.831318,72.3353495,-110.7783824,0.1085966,-0.0320504,-0.0001114,60.4224411,-0.406707072677003,2.0770295,60.4224411,-0.406707072677003,2.0770295,1.79499734585014,60.39007626920121,-1.936231874522152,2.0589944525841957,-0.501503356370963
107.9019224,74.9061544,-107.5548132,0.1406713,8.4e-06,7.1501157,-7.1135048,107.9536005,-2.9279544,75.3166755,-110.4538456,0.1082357,-0.0324356,-0.000129,60.5254422,-0.472569460802215,2.0683801,60.5254422,-0.472569460802215,2.0683801,1.84458792771604,60.49211875374325,-1.9628348181083284,2.0477780484762556,-0.5701371274420503
110.899235,77.8738539,-107.1345294,0.1406973,9e-06,7.1558619,-7.110317,110.9525876,-3.0258299,78.2981759,-110.1304595,0.107823,-0.0328743,-0.0001453,60.6278421,-0.534084330038178,2.0596412,60.6278421,-0.534084330038178,2.0596412,1.89409524478337,60.59343409286662,-1.9927388922907145,2.0365223272986337,-0.6345378040670532
113.8965486,80.8415433,-106.7141655,0.1407251,9.6e-06,7.1613721,-7.1065333,113.9516297,-3.1250997,81.2798723,-109.8083723,0.1073643,-0.0333608,-0.000159,60.7296397,-0.586406172956599,2.0508137,60.7296397,-0.586406172956599,2.0508137,1.94352016802593,60.69402764223594,-2.025613583243249,2.025388834850014,-0.6898491855057021
116.8938634,83.8092216,-106.2937162,0.1407548,1.02e-05,7.1650389,-7.1020376,116.9507324,-3.2258959,84.2617831,-109.4877095,0.1068693,-0.0338855,-0.0001686,60.8308338,-0.623885811459423,2.041901,60.8308338,-0.623885811459423,2.041901,1.99286355333066,60.79391296401039,-2.0608887711640755,2.0145847928284053,-0.7304046793245458
119.8911791,86.7768882,-105.8731762,0.1407862,1.08e-05,7.1650664,-7.0967395,119.9498999,-3.3283152,87.2439217,-109.1685611,0.1063527,-0.0344335,-0.0001721,60.9314233,-0.638945059237107,2.0329051,60.9314233,-0.638945059237107,2.0329051,2.04212623419345,60.89311586080847,-2.0976675846915906,2.004403267966691,-0.7486000471035729
122.8884958,89.7445421,-105.4525401,0.1408194,1.14e-05,7.1618034,-7.0906503,122.9491352,-3.4324011,90.2262939,-108.8509651,0.1058371,-0.0349824,-0.000166,61.0314072,-0.618322222358827,2.0238264,61.0314072,-0.618322222358827,2.0238264,2.09130900706421,60.99168029103138,-2.1345896632016106,1.9953614169997766,-0.7311372739185639
125.8858133,92.7121826,-105.0318026,0.1408544,1.2e-05,7.1575864,-7.084115,125.948438,-3.5381154,93.2088945,-108.5348781,0.1053568,-0.0354976,-0.0001459,61.1307844,-0.54522433171832,2.0146631,61.1307844,-0.54522433171832,2.0146631,2.14041262526478,61.08967990874205,-2.1695404330507695,1.9881371372263257,-0.6611668305971741
128.8831317,95.6798088,-104.6109585,0.1408912,1.26e-05,7.1545951,-7.0772789,128.9478037,-3.6452948,96.1917003,-108.2201331,0.104962,-0.0359293,-0.0001062,61.2295536,-0.39814998445667,2.0054143,61.2295536,-0.39814998445667,2.0054143,2.189437755323,61.18722641601645,-2.199461709342508,1.9836052986755388,-0.5171056666968491
131.8804508,98.6474199,-104.1900023,0.1409298,1.32e-05,7.1544306,-7.0711997,131.9472214,-3.753601,99.1746638,-107.9063896,0.1047198,-0.03621,-4.12e-05,61.327713,-0.154956841330587,1.996082,61.327713,-0.154956841330587,1.996082,2.23838495741133,61.28447555039474,-2.2201912409949265,1.9826534032472551,-0.2766964450553038
134.8777706,101.6150151,-103.7689289,0.1409702,1.38e-05,7.1569687,-7.0673521,134.946671,-3.8624665,102.1577051,-107.5930804,0.1047148,-0.0362554,5.44e-05,61.4252609,0.205254609608839,1.9866706,61.4252609,0.205254609608839,1.9866706,2.28725464308336,61.38162321545019,-2.2265095551459333,1.9860160865679373,0.08111088465435737
137.875091,104.5825935,-103.3477328,0.1410124,1.44e-05,7.1617362,-7.0664397,137.9461223,-3.971046,105.1407052,-107.2793632,0.105046,-0.0359664,0.0001844,61.5221953,0.69795040687958,1.9771843,61.5221953,0.69795040687958,1.9771843,2.33604705227813,61.47889203797802,-2.2122548575626517,1.9939695373376154,0.5719720244040297
140.872412,107.5501544,-102.9264088,0.1410564,1.5e-05,7.1676614,-7.0679308,140.9455339,-4.0781776,108.1235004,-106.9640823,0.1058212,-0.0352352,0.0003504,61.6185142,1.33041318879235,1.9676244,61.6185142,1.33041318879235,1.9676244,2.38476224153268,61.57650107070363,-2.1706914472454337,2.00604488685082,1.2033936514707306
143.8697334,110.5176968,-102.5049515,0.1411022,1.56e-05,7.1735699,-7.0724328,143.9448547,-4.1823684,111.1058805,-106.6457541,0.1071479,-0.0339542,0.0005498,61.7142153,2.0939926746781,1.9579935,61.7142153,2.0939926746781,1.9579935,2.43340011058585,61.67461998057037,-2.0950541946190615,2.0206053386468232,1.9669738841682312
146.8670554,113.4852201,-102.0833557,0.1411497,1.62e-05,7.1784535,-7.0803721,146.9440273,-4.2818127,114.0875907,-106.3225855,0.1091195,-0.0320302,0.0007754,61.8092961,2.96232969602629,1.9482937,61.8092961,2.96232969602629,1.9482937,2.48196045555322,61.773307762226324,-1.9794256155152314,2.034790446658799,2.836594140818292
149.8643777,116.4527234,-101.661616,0.1411991,1.68e-05,7.1815195,-7.0900287,149.9429953,-4.374457,117.0683411,-105.9925385,0.111799,-0.0294001,0.0010138,61.9037545,3.88495745372878,1.9385278,61.9037545,3.88495745372878,1.9385278,2.53044308751286,61.87245561935007,-1.8197143963978781,2.0446079023561494,3.761975361941254
152.8617003,119.4202058,-101.2397271,0.1412502,1.74e-05,7.1803172,-7.102018,152.9417124,-4.4581196,120.0478231,-105.6534474,0.1152,-0.0260502,0.0012455,61.9975888,4.7873296166908,1.9286954,61.9975888,4.7873296166908,1.9286954,2.57884798136832,61.97174657943591,-1.614866928369495,2.045670570953316,4.668638280178423
155.8590232,122.3876665,-100.8176837,0.1413032,1.8e-05,7.1763982,-7.1163017,155.940153,-4.5306663,123.0257345,-105.3031945,0.1192687,-0.0220345,0.0014454,62.0907977,5.57240315165087,1.9187965,62.0907977,5.57240315165087,1.9187965,2.62717544501297,62.07066318662306,-1.3680289749297834,2.034389969641933,5.459418686029471
158.8563463,125.3551048,-100.3954806,0.1413579,1.86e-05,7.1714907,-7.1324041,158.9383203,-4.590241,126.0018116,-104.9399368,0.1238673,-0.0174907,0.0015836,62.1833812,6.1234215604248,1.9088317,62.1833812,6.1234215604248,1.9088317,2.6754262504829,62.16856187241825,-1.087575410899294,2.009399931802164,6.017205994115988
161.8536695,128.3225197,-99.9731122,0.1414145,1.92e-05,7.1672996,-7.1489727,161.9362496,-4.6355364,128.9758675,-104.5623752,0.1287638,-0.0126507,0.0016283,62.27534,6.31490232399583,1.8988035,62.27534,6.31490232399583,1.8988035,2.72360167974404,62.264815075518044,-0.787805629915838,1.972881256717716,6.215933215669267
164.8509929,131.2899105,-99.5505735,0.1414728,1.98e-05,7.1651494,-7.16609,164.9340029,-4.6660882,131.9478338,-104.1700448,0.1336298,-0.007843,0.0015497,62.3666758,6.02771660735547,1.8887143,62.3666758,6.02771660735547,1.8887143,2.7717034418304,62.35899638308543,-0.4891368235797884,1.9309130978134454,5.9357159103258255
167.8483163,134.2572763,-99.1278589,0.1415329,2.04e-05,7.1655633,-7.1834996,167.9316551,-4.6825577,134.9178006,-103.7635956,0.1380549,-0.0034781,0.001331,62.4573907,5.19213204421281,1.8785663,62.4573907,5.19213204421281,1.8785663,2.81973343776976,62.45104733633962,-0.21723261260939655,1.8922239917320023,5.1059964911361995
170.8456397,137.2246164,-98.7049634,0.1415948,2.1e-05,7.1692932,-7.200685,170.9292734,-4.68694,137.8860461,-103.3449975,0.1416096,1.48e-05,0.0009939,62.5474867,3.88832374512251,1.8683652,62.5474867,3.88832374512251,1.8683652,2.86769343317536,62.54133101636393,0.0009257028031262058,1.8644571487215587,3.806203532041744
173.8429631,140.1919298,-98.2818814,0.1416585,2.16e-05,7.1751482,-7.2173651,173.9268993,-4.682469,140.8530239,-102.9174472,0.1440135,0.002355,0.0006163,62.6369652,2.4179848930539,-2.9765591,62.6369652,2.4179848930539,-2.9765591,2.91558476635564,62.630456979250376,0.14750991669696414,-2.9852205216169727,2.3262322268363667
176.8402863,143.1592159,-97.8586077,0.141724,2.22e-05,7.1830993,-7.2332626,176.9245447,-4.6728214,143.8192509,-102.4845794,0.1453043,0.0035803,0.0003007,62.4943524,1.17439710542594,-13.4895629,62.4943524,1.17439710542594,-13.4895629,2.96349675712929,62.487469617164315,0.2237480518761446,-13.49531242720542,1.0394000255545435
179.8376094,146.1264737,-97.4351371,0.1417913,2.28e-05,7.1908496,-7.2481307,179.9222054,-4.6610041,146.7851501,-102.0493656,0.1458165,0.0040252,0.0001094,61.8439149,0.418418877231334,-23.6449317,61.8439149,0.418418877231334,-23.6449317,3.0117145853546,61.83684243935794,0.24893345404115405,-23.646479544583002,0.2360483726513123
182.8349323,149.0937024,-97.0114641,0.1418604,2.33e-05,7.1950567,-7.2617442,182.9198747,-4.6486892,149.7509559,-101.613456,0.1459604,0.0041,2.95e-05,60.6869874,0.108645857970789,-28.6082719,60.6869874,0.108645857970789,-28.6082719,3.06064378186178,60.679904815562,0.24881595123927616,-28.605816897597002,-0.09444971862720987
