,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
218,435.725906,43.081494,-4.943631,-0.028864,5.453966,-0.845551,-2.391043,8.183938,9.917639
219,437.724649,43.332519,-5.004279,-0.031478,5.342782,-0.464997,-3.377780,8.875730,9.964139
220,439.723392,43.575246,-5.068825,-0.032469,5.187057,-0.055802,-4.336662,9.591537,10.010242
221,441.722134,43.807328,-5.132344,-0.030954,4.989253,0.381688,-5.216281,10.311943,10.055854
222,443.720877,44.027661,-5.190890,-0.027777,4.753315,0.848108,-5.982568,10.973874,10.101085
223,445.719620,44.236005,-5.243084,-0.025026,4.483429,1.343163,-6.606993,11.525063,10.146197
224,447.718363,44.432864,-5.293697,-0.026172,4.183282,1.866731,-7.212738,12.197523,10.191626
225,449.717106,44.614779,-5.348226,-0.026884,3.856894,2.418689,-7.830388,13.030989,10.236877
226,451.715848,44.778646,-5.397786,-0.022245,3.508469,2.998523,-8.240807,13.654260,10.281374
227,453.714591,44.926503,-5.437140,-0.018100,3.142042,3.605659,-8.527584,14.219266,10.325839
228,455.713334,45.058141,-5.471251,-0.015575,2.761760,4.239757,-8.812368,14.919123,10.370433
229,457.712076,45.171770,-5.498017,-0.010800,2.371632,4.900234,-8.973010,15.541304,10.414704
230,459.710819,45.267714,-5.513825,-0.005187,1.975560,5.586233,-9.040474,16.142211,10.458844
231,461.709562,45.345902,-5.518041,0.001449,1.577696,6.296639,-9.007677,16.687910,10.502853
232,463.708304,45.406463,-5.507295,0.009241,1.182406,7.028966,-8.793749,16.938824,10.546737
233,465.707047,45.450110,-5.482347,0.015052,0.794010,7.777109,-8.519564,17.101147,10.590904
234,467.705790,45.476896,-5.446845,0.020807,0.417177,8.533518,-8.221605,17.220446,10.635136
235,469.704532,45.487289,-5.396908,0.029706,0.056054,9.289902,-7.808779,17.096190,10.679059
236,471.703275,45.482270,-5.326931,0.040917,-0.285526,10.037743,-7.287192,16.731686,10.722802
237,473.702018,45.462850,-5.233248,0.053730,-0.603796,10.768502,-6.659656,16.059505,10.766478
238,475.700761,45.429925,-5.113508,0.065853,-0.896159,11.473525,-5.934733,15.136778,10.810378
239,477.699503,45.384413,-4.970873,0.075914,-1.159010,12.143938,-5.184964,14.128593,10.854669
240,479.698246,45.327898,-4.807875,0.086736,-1.389017,12.770687,-4.371958,12.924446,10.899029
241,481.696989,45.261886,-4.621617,0.098563,-1.583216,13.344779,-3.494733,11.509535,10.943448
242,483.695731,45.187783,-4.411410,0.110271,-1.739111,13.858205,-2.605223,10.023674,10.988057
243,485.694474,45.107731,-4.176661,0.124511,-1.855160,14.304704,-1.666932,8.320837,11.032601
244,487.693217,45.023384,-3.910911,0.140736,-1.929461,14.675592,-0.670011,6.314310,11.077175
245,489.691959,44.935954,-3.612304,0.155136,-1.959586,14.959497,0.348780,4.139998,11.122137
246,491.690702,44.847851,-3.284989,0.169980,-1.943842,15.146383,1.344371,1.924772,11.167278
247,493.689445,44.761155,-2.925589,0.185553,-1.882928,15.233595,1.474942,1.913820,11.212588
248,495.688187,44.676606,-2.535146,0.198113,-1.815491,15.321098,2.178345,0.323562,11.258310
249,497.686930,44.595831,-2.119229,0.213799,-1.715838,15.335900,2.961796,-1.675458,11.304058
250,499.685673,44.520382,-1.665633,0.234775,-1.580243,15.259196,-1.832662,10.371910,11.349839
251,501.684416,44.445218,-1.169133,0.249815,-1.665133,15.739630,-0.741899,7.523307,11.396160
252,503.683158,44.366645,-0.648865,0.256746,-1.699781,16.090978,0.470073,3.915496,11.442861
253,505.681901,44.287677,-0.118038,0.260911,-1.677801,16.274066,1.532203,0.791564,11.489621
254,507.680644,44.211013,0.415666,0.260468,-1.606265,16.311023,0.637008,6.575728,11.536309
255,509.679386,44.137091,0.939652,0.255823,-1.576677,16.616456,1.711930,3.123196,11.582758
256,511.678129,44.066271,1.446527,0.247338,-1.497809,16.760341,2.888568,-1.542839,11.628828
257,513.676872,44.001233,1.921909,0.231278,-1.366639,16.690280,4.007172,-6.552439,11.674238
258,515.675614,43.943869,2.357632,0.214659,-1.186578,16.395848,4.651426,-8.922681,11.719173
259,517.674357,43.895319,2.765897,0.203328,-0.977917,15.995580,1.984590,2.821928,11.764032
260,519.673100,43.853676,3.151083,0.192594,-0.889401,16.121443,2.905187,-2.267219,11.808634
261,521.671842,43.817000,3.514762,0.183717,-0.760216,16.020627,3.712132,-7.342660,11.853101
262,523.670585,43.787007,3.861040,0.174667,-0.596031,15.695865,2.098974,-1.995936,11.897331
263,525.669328,43.763203,4.175342,0.157179,-0.505297,15.609585,-0.085153,5.446162,11.940558
264,527.668071,43.741686,4.445281,0.134850,-0.508910,15.840667,0.573493,-0.651758,11.982989
265,529.666813,43.720799,4.671894,0.111844,-0.484801,15.813268,1.169947,-7.320496,12.025027
266,531.665556,43.701635,4.852795,0.087209,-0.436106,15.508579,1.058355,-10.931553,12.066648
267,533.664299,43.684296,4.991970,0.066533,-0.391774,15.050680,-0.486674,15.062733,12.108536
268,535.663041,43.667253,5.100800,0.051594,-0.412402,15.689132,-0.142725,7.965156,12.150922
269,537.661784,43.649715,5.182379,0.036344,-0.418427,16.025413,0.096065,0.500898,12.193141
270,539.660527,43.632232,5.233609,0.019696,-0.414393,16.046444,0.164912,-6.789143,12.235128
271,541.659269,43.614852,5.256370,0.005817,-0.407417,15.759279,0.207633,7.302362,12.277426
272,543.658012,43.597695,5.256504,-0.005695,-0.398579,16.070174,0.208529,1.452328,12.320000
273,545.656755,43.581057,5.233500,-0.020390,-0.389777,16.131480,0.170869,-1.986269,12.362212
274,547.655498,43.564879,5.179930,-0.038367,-0.382621,16.048272,0.115216,-3.420871,12.404103
