V,Aw,An,Ae_off,Ae_on
34.6,13.0328291482176,18.83741128,12.0899611036537,14.0899611036537
34.8,13.0724272770482,18.89814464,12.0817389756163,14.0817389756163
35,13.1124,18.958878,12.0743464206357,14.0743464206357
35.2,13.152917502439,19.01961136,12.0672454831229,14.0672454831229
35.4,13.1939971902439,19.08034472,12.0606555980095,14.0606555980095
35.6,13.2353981268293,19.14107808,12.0545137037606,14.0545137037606
35.8,13.2768793756098,19.20181144,12.0486222971873,14.0486222971873
36,13.3182,19.2625448,12.043277298746,14.043277298746
36.2,13.35936,19.32327816,12.0380769700772,14.0380769700772
36.4,13.40052,19.38401152,12.0332699175654,14.0332699175654
36.6,13.44168,19.44474488,12.0286463914321,14.0286463914321
36.8,13.48284,19.50547824,12.0242252260567,14.0242252260567
37,13.524,19.5662116,12.0200163525692,14.0200163525692
37.2,13.5650068465116,19.62694496,12.0158824992643,14.0158824992643
37.4,13.6058605395349,19.68767832,12.0119205109505,14.0119205109505
37.6,13.6467908093023,19.74841168,12.0079812268238,14.0079812268238
37.8,13.6880273860465,19.80914504,12.0040925225148,14.0040925225148
38,13.7298,19.8698784,12.0001856518741,14.0001856518741
38.2,13.7722782139535,19.93061176,11.9962660462761,13.9962660462761
38.4,13.8153179906977,19.99134512,11.9922294515195,13.9922294515195
38.6,13.8586786604651,20.05207848,11.9881402809259,13.9881402809259
38.8,13.9021195534884,20.11281184,11.9838462695055,13.9838462695055
39,13.9454,20.1735452,11.9794072729907,13.9794072729907
39.2,13.9883666844444,20.23427856,11.9747697744375,13.9747697744375
39.4,14.0311800533333,20.29501192,11.9698188090941,13.9698188090941
39.6,14.07407008,20.35574528,11.9647336091205,13.9647336091205
39.8,14.1172667377778,20.41647864,11.9591085306106,13.9591085306106
40,14.161,20.477212,11.8044512090114,13.8044512090114
40.2,14.2054388622222,20.53794536,11.2174137750786,13.2174137750786
40.4,14.25043872,20.59867872,10.9403106429182,12.9403106429182
40.6,14.2957591466667,20.65941208,10.9332571845092,12.9332571845092
40.8,14.3411597155556,20.72014544,10.9255013705549,12.9255013705549
41,14.3864,20.7808788,10.9174957357725,12.9174957357725
41.2,14.43148,20.84161216,10.9086091174646,12.9086091174646
41.4,14.47656,20.90234552,8.54988007923125,10.5498800792312
41.6,14.52164,20.96307888,7.61561273166127,9.61561273166127
41.8,14.56672,21.02381224,7.60443082723998,9.60443082723998
42,14.6118,21.0845456,7.59376508066629,9.59376508066629
42.2,14.6567265361702,21.14527896,7.58327934291893,9.58327934291892
42.4,14.7014996085106,21.20601232,7.57318718767156,9.57318718767156
42.6,14.746349412766,21.26674568,7.56332846753986,9.56332846753986
42.8,14.7915061446809,21.32747904,7.55375648156991,9.55375648156991
43,14.8372,21.3882124,7.5444556287784,9.5444556287784
43.2,14.8835994553191,21.44894576,7.53535039023502,9.53535039023502
43.4,14.930559387234,21.50967912,7.52653825570244,9.52653825570244
43.6,14.9778395914894,21.57041248,7.51784634304386,9.51784634304386
43.8,15.0251998638298,21.63114584,7.50945377721587,9.50945377721587
44,15.0724,21.6918792,7.50112176850684,9.50112176850684
44.2,15.11944,21.75261256,7.4930796208829,9.4930796208829
44.4,15.16648,21.81334592,7.48505409373253,9.48225850976066
44.6,15.21352,21.87407928,7.4772932157045,9.42718774185326
44.8,15.26056,21.93481264,7.46953233767647,9.37211697394586
45,15.3076,21.995546,7.46197199069003,9.36197199069003
45.2,15.3544864,22.05627936,7.45442323223046,9.35442323223046
45.4,15.4012192,22.11701272,7.44699337392259,9.34699337392259
45.6,15.4480288,22.17774608,7.43958758530195,9.33958758530195
45.8,15.4951456,22.23847944,7.43223479414659,9.33223479414659
46,15.5428,22.2992128,7.42490282616091,9.3249028261609
46.2,15.59132,22.35994616,7.41757368033231,9.31757368033231
46.4,15.64056,22.42067952,7.41024638325206,9.31024638325206
46.6,15.69004,22.48141288,7.4028874609291,9.3028874609291
46.8,15.73928,22.54214624,7.39549568519993,9.29549568519993
47,15.7878,22.6028796,7.38805356443265,9.28805356443265
47.2,15.835153344,22.66361296,7.38052816002712,9.28052816002712
47.4,15.881668032,22.72434632,7.37294941892718,9.27294941892718
47.6,15.928026048,22.78507968,7.36522123676404,9.26522123676404
47.8,15.974909376,22.84581304,7.35745245385456,9.25745245385457
48,16.023,22.9065464,7.34945234437948,9.24945234437948
48.2,16.0728152985098,22.96727976,7.34144009785508,9.24144009785508
48.4,16.1239319755294,23.02801312,7.33309891056751,9.23309891056751
48.6,16.1756210032941,23.08874648,7.32475772327993,9.22475772327993
48.8,16.2271533540392,23.14947984,7.31603836431469,9.21603836431469
49,16.2778,23.2102132,7.30728695087256,9.20728695087256
49.2,16.3272611764706,23.27094656,7.29814813462774,9.19814813462774
49.4,16.3760305882353,23.33167992,7.28891734447144,9.18891734447144
49.6,16.4245694117647,23.39241328,7.27930564930205,9.17930564930205
49.8,16.4733388235294,23.45314664,7.26952633314333,9.16952633314333
50,16.5228,23.51388,6.14156176202835,8.04156176202835
50.2,16.5732803764706,23.57461336,5.52087175364974,7.39410377665925
50.4,16.6244801882353,23.63534672,5.50834147266975,7.34242302564361
50.6,16.6759198117647,23.69608008,5.49586642798312,7.29586642798312
50.8,16.7271196235294,23.75681344,5.48376277202414,7.28376277202414
51,16.7776,23.8175468,5.47165911606516,7.27165911606516
51.2,16.8270611764706,23.87828016,5.45977362600083,7.25977362600083
51.4,16.8758305882353,23.93901352,5.44804924061182,7.24804924061182
51.6,16.9243694117647,23.99974688,5.43633181790184,7.23633181790184
51.8,16.9731388235294,24.06048024,5.42493934902328,7.22493934902328
52,17.0226,24.1212136,5.41354688014473,7.21354688014473
52.2,17.0727666604514,24.18194696,5.40228722475965,7.20228722475965
52.4,17.1233390401776,24.24268032,5.39117931794051,7.19117931794051
52.6,17.1743080896781,24.30341368,5.38007141112137,7.18007141112137
52.8,17.2256647594525,24.36414704,5.36917995190398,7.16917995190398
53,17.2774,24.4248804,5.35830925269322,7.15830925269323
53.2,17.3298407245283,24.48561376,5.3475065654692,7.1475065654692
53.4,17.3830003622642,24.54634712,5.3368257198073,7.1368257198073
53.6,17.4363996377358,24.60708048,5.3261448741454,7.1261448741454
53.8,17.4895592754717,24.66781384,5.3155785954769,7.1155785954769
54,17.542,24.7285472,5.30504024852133,7.10504024852133
54.2,17.5934215245283,24.78928056,5.29452566294014,7.09452566294014
54.4,17.6441507622642,24.85001392,5.28408246102286,7.08408246102286
54.6,17.6946492377359,24.91074728,5.27363925910559,7.07363925910559
54.8,17.7453784754717,24.97148064,5.26322929482502,7.06322929482502
55,17.7968,25.032214,5.2528338831035,7.0528338831035
55.2,17.8492407245283,25.09294736,5.24243853298316,7.03690880510143
55.4,17.9024003622641,25.15368072,5.23204355739788,6.98736335948051
55.6,17.9557996377359,25.21441408,5.2216485818126,6.93781791385958
55.8,18.0089592754717,25.27514744,5.21122606540175,6.91122606540175
56,18.0614,25.3358808,5.20078417150168,6.90078417150167
56.2,18.1128215245283,25.39661416,5.19033919040892,6.89033919040892
56.4,18.1635507622641,25.45734752,5.17980302374302,6.87980302374302
56.6,18.2140492377358,25.51808088,5.16926685707712,6.86926685707712
56.8,18.2647784754717,25.57881424,5.15866292201777,6.85866292201777
57,18.3162,25.6395476,5.14798512852652,6.84798512852652
57.2,18.3684809660377,25.70028096,5.13730733503527,6.83730733503527
57.4,18.4213210867925,25.76101432,5.1264548752308,6.79026997695693
57.6,18.4744807245283,25.82174768,5.11558810046316,6.74025273215364
57.8,18.5277202415094,25.88248104,5.10463388048376,6.70463388048377
58,18.5808,25.9432144,5.09353076998871,6.69353076998871
58.2,18.63372,26.00394776,5.08242765949365,6.68242765949365
58.4,18.68664,26.06468112,5.07109312690572,6.67109312690572
